latitude,longitude
36.332252225,127.34590371666667
36.403683945,127.3879467
36.33693156,127.4387066142857
36.31059231642857,127.40217442142857
36.37719285916667,127.32208824166666
36.358936918785716,127.36902818914285
36.390345638571425,127.42309524285714
36.440945656000004,127.39945834000001
36.29632279142857,127.32091312857143
36.27941918333333,127.44691756666667
36.33050728376923,127.40466294461538
36.39522257625,127.353499475
36.469971652,127.47298633999999
36.309465796666665,127.44710157777777
36.341844951249996,127.3045199125
36.32082762923077,127.37456353076924
36.36803270833333,127.4273755388889
36.30214845555555,127.35310537777778
36.34919520411111,127.33019964255556
36.357829401875,127.39210105625
36.27492593,127.399492725
36.28200364285714,127.3784405
36.45071686666667,127.4381778
36.46623564833333,127.38960915
36.327803939166664,127.46007433333334
36.38216822111111,127.30532908888888
36.30223999764706,127.33999811176471
36.33079967153846,127.41947116153847
36.356975634,127.34223526
36.416980972,127.4061547
36.41352114428572,127.43714297142857
36.321404214666664,127.42987518666666
36.32942106833333,127.38288133333333
36.321703794916665,127.410601023
36.389460148750004,127.4014949125
36.27905807285714,127.46859318571428
36.30291205,127.31770780000001
36.344294295,127.3682625125
36.382250104,127.3569382
36.37538097625,127.391287875
36.29869480666667,127.457442625
36.300449523333334,127.3821657
36.33912688444445,127.31551702222222
36.44167822,127.385141525
36.4477668325,127.40954525000001
36.29619227642857,127.33194020714286
36.25391709,127.3408036
36.34830171064286,127.38526552114286
36.310869774705886,127.3888477
36.41526994714286,127.39271295714286
36.359734782000004,127.30417398
36.33851333166667,127.33625083333334
36.34539733,127.43155942857143
36.39056328,127.32776986666667
36.27949126,127.4247799
36.318232855,127.3463199
36.363491636090906,127.31821336754545
36.34248736166667,127.44821426666667
36.371511099230766,127.37517590769231
36.333058835,127.37476010833333
36.32526933888235,127.444701544
36.3283603425,127.332841875
36.35008506928571,127.37676719285714
36.352635094,127.3556923
36.39999945888889,127.40266275555555
36.34840248272727,127.39738470909091
36.315109738,127.45872569
36.417231505000004,127.38075495
36.33240431083333,127.43053249233333
36.34293524071428,127.42088051428571
36.322048020555556,127.39575133888889
36.372711625,127.3409296
36.31394299,127.31819821
36.449137185,127.45414745
36.429305242,127.39113598
36.36524826888889,127.33499741111112
36.33898517923077,127.39004816153846
36.366254917142854,127.43728244285714
36.3614407225,127.35613777500001
36.40419803333333,127.37104466666666
36.31648242384615,127.4396205
36.435976036,127.41303388
36.37050205333333,127.40240373333333
36.34893597666667,127.34407555
36.2967536675,127.397281825
36.401147332,127.43759634
36.35973715888889,127.38026850555555
36.32140320571428,127.42035127857143
36.321752355,127.47117585
36.44684786,127.3669345
36.306894426363634,127.36721761818181
36.38601406428572,127.31845257142857
36.474814045,127.3721232
36.312156075454546,127.37590248181819
36.33877279833333,127.410224125
36.44898562833333,127.42035311666667
36.35253613875,127.295981925
36.39409184857143,127.31192622857142
36.388527735714284,127.36321038571428
36.386038195833336,127.34687188333334
