operate_num,latitude,longitude
2209000001,36.29052961,127.4632633
2209000002,36.30842394,127.4587624
2209000003,36.30860075,127.4593362
2209000004,36.29693925,127.4600221
2209000006,36.27630195,127.3972811
2209000007,36.27367768,127.3962798
2209000008,36.27082253,127.3931441
2209000009,36.32319854,127.445596
2209000010,36.32317221,127.4452604
2209000012,36.32233886,127.4447504
2209000013,36.32236663,127.4450728
2209000014,36.32112507,127.4460179
2209000015,36.32108526,127.4451165
2209000016,36.32085189,127.4438234
2209000017,36.32065956,127.443998
2209000018,36.31937969,127.4498597
2209000019,36.31931541,127.4491466
2209000020,36.2958844,127.3870891
2209000021,36.29569564,127.387135
2209000024,36.32261826,127.4413216
2209000025,36.32243611,127.4417189
2209000026,36.32022667,127.4623631
2209000027,36.32223508,127.461511
2209000028,36.32303639,127.4623771
2209000029,36.31756674,127.4565524
2209000030,36.31734384,127.4594073
2209000032,36.31701984,127.4595566
2209000033,36.32321721,127.4371956
2209000036,36.31987061,127.46199
2209000037,36.31821239,127.4613515
2209000038,36.31793135,127.4616683
2209000039,36.27284317,127.4718651
2209000040,36.27392996,127.4728771
2209000041,36.2734931,127.4734608
2209000042,36.27272826,127.4711135
2209000045,36.29723171,127.4595909
2209000046,36.29715707,127.456044
2209000047,36.29840237,127.4588565
2209000049,36.32175504,127.4384773
2209000050,36.29634348,127.459599
2209000052,36.31992915,127.4200138
101246,36.32491524,127.3348688
101249,36.32034007,127.3438522
101250,36.31986057,127.3442105
101251,36.31944316,127.3478641
101252,36.31866461,127.3479437
101253,36.3175919,127.3452188
101254,36.31765024,127.3449407
101255,36.31451967,127.3456405
101256,36.314138,127.3458434
101257,36.31290998,127.3499658
101258,36.31224853,127.350297
101262,36.30802556,127.3388806
101263,36.30766537,127.3391142
101264,36.30758994,127.3522231
101266,36.30691477,127.3525713
101267,36.30693036,127.3369512
101268,36.30686561,127.3407832
101269,36.30685484,127.3371465
101274,36.30559279,127.3542595
101275,36.3053651,127.3404976
101277,36.30474886,127.3385241
101278,36.30452013,127.3384809
101280,36.30373887,127.3457943
101281,36.30359819,127.3468902
101282,36.30322849,127.3351344
101283,36.30267158,127.3346457
101284,36.30241251,127.3396434
101285,36.3022728,127.3390235
101286,36.30175283,127.3365744
101287,36.30173274,127.3341266
101288,36.30127129,127.3357739
101290,36.30011045,127.3347032
101400,36.30462043,127.3846439
101401,36.30454517,127.3834765
101403,36.30438778,127.3793022
101404,36.30422591,127.3795066
101408,36.30294723,127.3789061
101409,36.30284563,127.37872
101579,36.32549282,127.3292951
2209000055,36.31955937,127.31373
2209000056,36.31944055,127.3141621
2209000057,36.31667986,127.3148076
2209000058,36.31589381,127.3154516
2209000059,36.29397397,127.3210879
2209000061,36.31141998,127.3249612
2209000063,36.30904743,127.3183644
2209000064,36.30567407,127.3729329
2209000065,36.29976091,127.3181642
2209000066,36.29573977,127.3169096
2209000067,36.30293129,127.3436202
2209000068,36.32691135,127.3347297
101580,36.32684737,127.329811
2209000069,36.3043507,127.3740023
2209000070,36.30459192,127.3732546
2209000071,36.31024339,127.3723751
2209000072,36.31237445,127.3741942
2209000073,36.31180435,127.3744375
2209000074,36.31407358,127.3738092
2209000075,36.31502041,127.3734417
2209000076,36.31710744,127.3735379
2209000077,36.31597118,127.3181369
2209000078,36.31548129,127.3198318
2209000079,36.3015294,127.3295382
2209000080,36.30120594,127.3296455
2209000081,36.30029339,127.3271555
2209000082,36.30045383,127.3264506
2209000083,36.29989843,127.3217311
2209000084,36.29976924,127.335007
2209000085,36.29976748,127.3221389
2209000086,36.2990058,127.331986
2209000087,36.29885035,127.3320167
2209000089,36.2983702,127.3404162
