num1,city,gu,roadname,where,address,latitude,longitude
대전-중구-49,대전광역시,중구,계백로 1685,앞 승강장,대전광역시 중구 계백로 1685 앞 승강장,36.32089973056516,127.40687659975437
대전-중구-50,대전광역시,중구,계맥로 1679,삼성디지털프라자 앞,대전광역시 중구 계맥로 1679 삼성디지털프라자 앞,36.320640030565166,127.40645479975723
대전-중구-51,대전광역시,중구,동서대로 1299,앞 승강장,대전광역시 중구 동서대로 1299 앞 승강장,36.328303330560516,127.40390649975802
대전-중구-52,대전광역시,중구,오류로 19,서대전역 앞,대전광역시 중구 오류로 19 서대전역 앞,36.32271443056401,127.40454039975519
대전-중구-53,대전광역시,중구,계백로 1686번길 16,한신아파트 101동 앞,대전광역시 중구 계백로 1686번길 16 한신아파트 101동 앞,36.320640030565166,127.40645479975723
대전-중구-54,대전광역시,중구,계백로 1686번길 16,한신아파트 103동 앞,대전광역시 중구 계백로 1686번길 16 한신아파트 103동 앞,36.320640030565166,127.40645479975723
대전-중구-55,대전광역시,중구,게백로1712,기동교봉사회관 앞 승강장,대전광역시 중구 게백로1712 기동교봉사회관 앞 승강장,36.321490030564185,127.40952049975432
대전-중구-56,대전광역시,중구,서문로 32,한밭우성아파트 앞 승강장,대전광역시 중구 서문로 32 한밭우성아파트 앞 승강장,36.30995171434806,127.40818273328257
대전-중구-57,대전광역시,중구,계룡로 910,KT문화빌딩 앞 승강장,대전광역시 중구 계룡로 910 KT문화빌딩 앞 승강장,36.32126535053322,127.41388109060814
대전-중구-58,대전광역시,중구,계룡로 942,대전중앙교회 앞 승강장,대전광역시 중구 계룡로 942 대전중앙교회 앞 승강장,36.318952154299616,127.41669737049487
대전-중구-59,대전광역시,중구,문화로 178,앞 승강장,대전광역시 중구 문화로 178 앞 승강장,36.3144618952865,127.4048033182279
대전-중구-60,대전광역시,중구,문화로 175,앞 승강장,대전광역시 중구 문화로 175 앞 승강장,36.314548633229776,127.40473695520936
대전-중구-61,대전광역시,중구,계룡로 911,투썸플레이스 앞,대전광역시 중구 계룡로 911 투썸플레이스 앞,36.320938817786754,127.41448962507692
대전-중구-62,대전광역시,중구,중앙로 16번길 5,대전병무청 앞 승강장,대전광역시 중구 중앙로 16번길 5 대전병무청 앞 승강장,36.32278026678352,127.41465083127372
대전-중구-63,대전광역시,중구,문화로 218번길 6,앞 승강장,대전광역시 중구 문화로 218번길 6 앞 승강장,36.31593635082945,127.4090023212021
대전-중구-64,대전광역시,중구,서문로 96,센트럴파크2단지 앞 승강장,대전광역시 중구 서문로 96 센트럴파크2단지 앞 승강장,36.316262590015675,127.40952516620807
대전-중구-65,대전광역시,중구,문화로 266,충남대학교병원 응급실 앞 승강장,대전광역시 중구 문화로 266 충남대학교병원 응급실 앞 승강장,36.31764736293154,127.41355016372378
대전-중구-66,대전광역시,중구,문화로 269,중앙유치원 앞 승강장,대전광역시 중구 문화로 269 중앙유치원 앞 승강장,36.317744965808224,127.4134705023029
대전-중구-67,대전광역시,중구,산성로 63,중구보건소 앞 승강장,대전광역시 중구 산성로 63 중구보건소 앞 승강장,36.308381680583246,127.39590893047796
대전-중구-68,대전광역시,중구,대둔산로 414,산성전통시장 입구 앞 승강장,대전광역시 중구 대둔산로 414 산성전통시장 입구 앞 승강장,36.30615877993672,127.38672768497797
대전-중구-69,대전광역시,중구,대둔산로 184번길 8,뿌리공원 입구 승강장,대전광역시 중구 대둔산로 184번길 8 뿌리공원 입구 승강장,36.286456254232164,127.37854915236163
대전-중구-70,대전광역시,중구,대둔산로 206,근영빌딩 앞 승강장,대전광역시 중구 대둔산로 206 근영빌딩 앞 승강장,36.28857492146139,127.37997532031376
대전-중구-71,대전광역시,중구,대둔산로 381,한빛프라자 앞 승강장,대전광역시 중구 대둔산로 381 한빛프라자 앞 승강장,36.30328130000012,127.38623039999976
대전-중구-72,대전광역시,중구,대둔산로 380,앞 승강장,대전광역시 중구 대둔산로 380 앞 승강장,36.303247877237396,127.3861967117324
대전-중구-73,대전광역시,중구,유등천동로 340,서남부터미널 앞 승강장,대전광역시 중구 유등천동로 340 서남부터미널 앞 승강장,36.31291059101155,127.38778990465659
대전-중구-74,대전광역시,중구,유등천동로 370,강변빌라 앞 승강장,대전광역시 중구 유등천동로 370 강변빌라 앞 승강장,36.314739700247394,127.3873223738391
대전-중구-75,대전광역시,중구,대둔산로 125,한빛고등학교 입구 승강장,대전광역시 중구 대둔산로 125 한빛고등학교 입구 승강장,36.28256808608727,127.37583674335752
대전-중구-76,대전광역시,중구,사정동 138,,대전광역시 중구 사정동 138,36.29268305316266,127.39809164979732
